transaction_id,account_id,transaction_amount,transaction_date,transaction_type,location,customer_age,fraud_flag
87,4152,4110.74,2023-03-28,Credit,Germany,76,0
88,2955,1731.96,2023-03-29,Transfer,Germany,50,0
89,2585,1744.62,2023-03-30,Debit,Germany,79,0
90,4943,168.71,2023-03-31,Credit,Germany,67,0
91,4459,2748.09,2023-04-01,Transfer,Germany,65,0
92,4073,2676.77,2023-04-02,Credit,India,58,0
93,2021,1786.4,2023-04-03,Credit,UK,36,0
94,4461,4472.14,2023-04-04,Debit,Germany,39,0
95,3613,652.45,2023-04-05,Credit,Canada,22,0
96,2129,1657.2,2023-04-06,Transfer,Canada,76,0
97,4843,1614.7,2023-04-07,Transfer,UK,19,0
98,4893,470.53,2023-04-08,Transfer,USA,47,0
99,2500,2410.92,2023-04-09,Transfer,USA,64,0
100,1702,3442.05,2023-04-10,Debit,USA,56,0
101,3449,2563.17,2023-04-11,Credit,Canada,21,0
102,3777,793.32,2023-04-12,Debit,USA,50,0
103,2579,1892.66,2023-04-13,Credit,India,30,0
104,1161,22.95,2023-04-14,Credit,Germany,37,0
105,1201,4342.82,2023-04-15,Credit,Canada,71,1
106,2981,431.74,2023-04-16,Debit,UK,24,0
107,1995,2990.42,2023-04-17,Credit,UK,32,0
108,3317,4931.42,2023-04-18,Debit,Germany,40,0
109,4934,2687.59,2023-04-19,Transfer,Canada,31,0
110,1815,4620.97,2023-04-20,Transfer,USA,40,0
111,4342,1188.22,2023-04-21,Credit,USA,36,0
112,1455,3802.18,2023-04-22,Debit,India,71,0
113,4533,2661.02,2023-04-23,Transfer,India,46,0
114,4798,3605.38,2023-04-24,Debit,USA,73,0
115,2275,321.08,2023-04-25,Debit,UK,37,0
116,2016,747.22,2023-04-26,Credit,UK,46,0
117,4773,674.25,2023-04-27,Transfer,India,41,0
118,3343,3438.96,2023-04-28,Credit,Germany,35,0
119,4796,4223.76,2023-04-29,Credit,USA,27,0
120,3767,3750.58,2023-04-30,Transfer,India,58,0
121,4820,162.06,2023-05-01,Transfer,India,74,0
122,1337,4337.4,2023-05-02,Debit,USA,25,0
123,1878,1777.19,2023-05-03,Transfer,USA,43,0
124,2076,1991.85,2023-05-04,Debit,UK,79,0
125,1791,533.3,2023-05-05,Debit,Germany,46,0
126,4993,3689.65,2023-05-06,Debit,Germany,27,0
127,3264,919.6,2023-05-07,Transfer,USA,34,0
128,1763,2824.19,2023-05-08,Credit,Canada,19,1
129,3235,4205.14,2023-05-09,Debit,India,23,0
130,1379,455.13,2023-05-10,Credit,India,75,0
131,1492,2681.32,2023-05-11,Credit,USA,22,0
132,4112,1173.75,2023-05-12,Transfer,Canada,45,0
133,2180,1721.21,2023-05-13,Credit,UK,79,0
134,3062,2375.11,2023-05-14,Credit,USA,58,0
135,4884,1781.97,2023-05-15,Transfer,USA,22,0
136,1064,3247.63,2023-05-16,Debit,India,35,0
137,4928,2403.11,2023-05-17,Credit,USA,43,0
138,4910,2925.16,2023-05-18,Transfer,USA,37,0
139,3568,3686.74,2023-05-19,Credit,USA,58,0
140,2367,2793.13,2023-05-20,Credit,India,66,0
141,2152,2936.81,2023-05-21,Debit,UK,44,0
142,3027,2826.65,2023-05-22,Credit,UK,66,0
143,3695,1900.08,2023-05-23,Transfer,USA,29,0
144,2495,1693.86,2023-05-24,Credit,India,24,0
145,4134,4499.24,2023-05-25,Debit,UK,76,0
146,2162,3041.7,2023-05-26,Debit,UK,20,0
147,2522,1229.32,2023-05-27,Transfer,UK,27,0
148,3640,2496.26,2023-05-28,Debit,India,51,0
149,1391,1658.44,2023-05-29,Credit,India,42,0
150,2698,4669.12,2023-05-30,Debit,USA,52,0
151,1418,47.6,2023-05-31,Transfer,Germany,33,0
152,3336,1134.41,2023-06-01,Debit,UK,19,0
153,1378,1833.13,2023-06-02,Debit,Germany,77,0
154,2796,2444.17,2023-06-03,Debit,India,41,0
155,4561,4255.58,2023-06-04,Transfer,India,27,0
156,3278,448.56,2023-06-05,Debit,India,55,0
157,4065,4031.27,2023-06-06,Debit,Germany,39,0
158,3088,287.71,2023-06-07,Credit,India,43,0
159,4099,4213.15,2023-06-08,Transfer,USA,60,0
160,3182,267.66,2023-06-09,Debit,India,72,0
161,1200,101.03,2023-06-10,Transfer,Canada,56,0
162,2863,3487.84,2023-06-11,Debit,Germany,44,0
163,1779,4986.31,2023-06-12,Debit,Canada,46,0
164,3977,4484.09,2023-06-13,Debit,India,64,0
165,4104,2884.23,2023-06-14,Credit,USA,55,0
166,4119,4587.8,2023-06-15,Credit,UK,37,0
167,1502,36.45,2023-06-16,Credit,India,44,0
168,3454,4875.59,2023-06-17,Transfer,USA,58,0
169,4645,2458.84,2023-06-18,Transfer,Germany,71,0
170,2751,3617.25,2023-06-19,Credit,Canada,37,0
171,1804,4106.1,2023-06-20,Transfer,Canada,61,0
172,3146,3595.1,2023-06-21,Debit,Canada,36,0
173,3731,2679.83,2023-06-22,Debit,Germany,37,0
174,2895,2388.33,2023-06-23,Debit,USA,52,0
175,3773,4194.53,2023-06-24,Credit,Germany,64,1
176,2570,1033.34,2023-06-25,Transfer,Canada,19,0
177,1960,4840.29,2023-06-26,Credit,India,47,0
178,4810,3557.65,2023-06-27,Transfer,UK,70,0
179,3660,1005.54,2023-06-28,Debit,Germany,51,0
180,2485,3683.87,2023-06-29,Credit,Germany,39,0
181,3690,2653.9,2023-06-30,Transfer,USA,20,0
182,4840,3539.08,2023-07-01,Transfer,USA,23,0
183,2028,3841.22,2023-07-02,Debit,Germany,32,0
184,4289,445.58,2023-07-03,Credit,Canada,44,0
185,1502,2535.46,2023-07-04,Credit,UK,27,0
186,3814,4660.75,2023-07-05,Credit,USA,26,0
187,1397,1610.0,2023-07-06,Debit,Canada,50,0
188,1870,2973.48,2023-07-07,Credit,India,49,0
189,3842,1852.46,2023-07-08,Debit,USA,65,0
190,1392,2276.8,2023-07-09,Debit,Canada,23,0
191,1206,2747.53,2023-07-10,Debit,Canada,58,0
192,2038,2749.12,2023-07-11,Transfer,UK,76,0
193,2881,1016.64,2023-07-12,Credit,UK,53,0
194,4625,3426.01,2023-07-13,Credit,India,76,0
195,3939,448.46,2023-07-14,Debit,Canada,77,0
196,2484,702.74,2023-07-15,Debit,Canada,19,0
197,4762,23.53,2023-07-16,Credit,UK,46,0
198,4646,592.31,2023-07-17,Debit,USA,21,0
199,1863,2371.1,2023-07-18,Credit,USA,18,0
200,3790,3034.45,2023-07-19,Transfer,Germany,36,0
201,4312,3973.5,2023-07-20,Debit,UK,43,0
202,1563,542.43,2023-07-21,Credit,Germany,42,0
203,2020,4255.13,2023-07-22,Debit,UK,27,0
204,1095,3732.41,2023-07-23,Credit,India,70,0
205,2923,2048.51,2023-07-24,Credit,Canada,32,0
206,2757,4665.36,2023-07-25,Debit,India,76,0
207,3532,4954.74,2023-07-26,Transfer,UK,39,0
208,4478,1032.96,2023-07-27,Credit,Canada,68,0
209,3278,1902.35,2023-07-28,Credit,USA,65,0
210,3796,4632.98,2023-07-29,Credit,USA,38,0
211,2678,3610.77,2023-07-30,Transfer,Germany,76,0
212,4242,249.99,2023-07-31,Transfer,UK,73,0
213,1540,3909.76,2023-08-01,Debit,UK,39,0
214,2059,4141.43,2023-08-02,Transfer,USA,53,0
215,3572,3755.0,2023-08-03,Debit,India,51,0
216,2183,3999.69,2023-08-04,Debit,Canada,47,0
217,4910,4127.41,2023-08-05,Transfer,India,42,0
218,2722,940.16,2023-08-06,Debit,India,62,0
219,4314,1186.1,2023-08-07,Transfer,USA,45,0
220,4157,3172.46,2023-08-08,Debit,USA,18,0
221,2819,4540.25,2023-08-09,Transfer,USA,66,0
222,3625,1587.82,2023-08-10,Transfer,Germany,62,0
223,3729,2945.65,2023-08-11,Debit,India,21,0
224,3604,3418.08,2023-08-12,Credit,UK,24,0
225,2597,2265.22,2023-08-13,Debit,Canada,66,0
226,4060,3571.77,2023-08-14,Transfer,Germany,26,0
227,3693,4499.34,2023-08-15,Credit,UK,53,0
228,1795,3124.27,2023-08-16,Debit,India,36,0
229,2051,2703.51,2023-08-17,Debit,USA,18,1
230,2643,2199.34,2023-08-18,Debit,India,27,0
231,4627,2891.66,2023-08-19,Credit,Canada,53,1
232,2363,1783.26,2023-08-20,Transfer,Germany,26,0
233,4869,1963.5,2023-08-21,Debit,Germany,62,0
234,2981,2663.97,2023-08-22,Debit,Canada,63,0
235,2354,342.43,2023-08-23,Debit,UK,59,0
236,2663,1152.84,2023-08-24,Debit,UK,49,0
237,2529,2718.82,2023-08-25,Debit,Germany,49,0
238,3038,2163.33,2023-08-26,Transfer,Germany,23,0
239,4419,1670.75,2023-08-27,Transfer,USA,65,0
240,2496,3655.44,2023-08-28,Debit,UK,55,0
241,4302,3471.65,2023-08-29,Credit,Canada,34,0
242,3237,841.99,2023-08-30,Transfer,UK,27,0
243,4296,4394.36,2023-08-31,Credit,USA,67,0
244,2408,2482.16,2023-09-01,Transfer,Germany,44,0
245,2400,3709.89,2023-09-02,Debit,Germany,71,0
246,2306,2870.02,2023-09-03,Transfer,USA,67,0
247,3680,4988.49,2023-09-04,Debit,Canada,52,0
248,3675,3764.49,2023-09-05,Transfer,Germany,69,0
249,1972,3537.83,2023-09-06,Debit,India,76,0
250,2768,3895.07,2023-09-07,Debit,Germany,38,0
251,2282,724.21,2023-09-08,Debit,India,42,0
252,4430,1030.68,2023-09-09,Debit,USA,45,0
253,1709,3573.18,2023-09-10,Credit,USA,64,0
254,2479,2474.97,2023-09-11,Debit,Germany,32,0
255,2434,3775.63,2023-09-12,Credit,UK,21,0
256,1648,523.55,2023-09-13,Credit,India,46,0
257,1317,2687.04,2023-09-14,Debit,Canada,76,0
258,4748,1900.32,2023-09-15,Credit,Germany,26,0
259,4296,2290.43,2023-09-16,Transfer,Canada,44,0
260,4890,3023.75,2023-09-17,Debit,Germany,43,0
261,2257,2516.42,2023-09-18,Credit,UK,36,0
262,1683,2703.9,2023-09-19,Debit,UK,73,0
263,1663,2436.92,2023-09-20,Debit,UK,45,0
264,2998,2050.69,2023-09-21,Debit,UK,34,0
265,4898,3861.69,2023-09-22,Credit,USA,60,0
266,4445,70.89,2023-09-23,Transfer,USA,74,0
267,4743,2996.23,2023-09-24,Transfer,India,58,0
268,2631,2831.89,2023-09-25,Credit,Canada,59,0
269,2495,3583.73,2023-09-26,Debit,Germany,67,0
270,4304,2999.16,2023-09-27,Credit,Germany,37,0
271,4763,4135.73,2023-09-28,Credit,USA,62,0
272,2136,4795.78,2023-09-29,Credit,Germany,57,0
273,2853,1719.2,2023-09-30,Debit,USA,56,0
274,2520,1144.48,2023-10-01,Credit,India,66,0
275,3489,2123.75,2023-10-02,Debit,Canada,70,0
276,1563,1446.77,2023-10-03,Credit,India,40,0
277,2291,3078.6,2023-10-04,Transfer,UK,64,0
278,4581,4560.14,2023-10-05,Credit,UK,49,0
279,4878,704.19,2023-10-06,Credit,UK,69,0
280,4457,512.97,2023-10-07,Transfer,India,64,0
281,4458,1287.52,2023-10-08,Debit,Germany,50,0
282,4184,3633.22,2023-10-09,Debit,Canada,74,0
283,2636,2968.88,2023-10-10,Credit,UK,63,0
284,4696,520.04,2023-10-11,Transfer,UK,22,0
285,3999,4594.57,2023-10-12,Debit,UK,60,0
286,4152,3952.52,2023-10-13,Credit,Canada,65,0
287,1698,124.88,2023-10-14,Transfer,UK,51,0
288,3160,3260.32,2023-10-15,Debit,Canada,57,0
289,1001,3858.52,2023-10-16,Debit,UK,28,0
290,1641,1878.43,2023-10-17,Transfer,India,78,0
291,3267,353.92,2023-10-18,Transfer,India,67,0
292,2589,395.83,2023-10-19,Transfer,Canada,20,0
293,1854,530.19,2023-10-20,Transfer,India,79,0
294,2759,4203.79,2023-10-21,Credit,Canada,75,0
295,4296,4554.32,2023-10-22,Transfer,India,50,0
296,3432,622.83,2023-10-23,Debit,India,28,0
297,4474,1187.17,2023-10-24,Debit,Canada,33,0
298,2661,835.95,2023-10-25,Credit,Germany,35,0
299,2153,939.74,2023-10-26,Debit,India,47,0
300,2076,4189.08,2023-10-27,Debit,UK,65,0
301,2707,1667.41,2023-10-28,Transfer,Germany,72,0
302,3777,1564.11,2023-10-29,Debit,Canada,27,0
303,2695,1144.7,2023-10-30,Credit,Germany,35,0
304,2733,3043.39,2023-10-31,Transfer,USA,55,0
305,2439,1902.74,2023-11-01,Transfer,USA,36,0
306,3294,3723.81,2023-11-02,Credit,India,53,0
307,1835,1035.84,2023-11-03,Transfer,India,76,0
308,4510,3941.07,2023-11-04,Transfer,UK,30,0
309,1202,3022.57,2023-11-05,Credit,Germany,73,0
310,4255,580.19,2023-11-06,Transfer,USA,63,0
311,1122,2078.38,2023-11-07,Credit,India,20,0
312,1400,4318.96,2023-11-08,Credit,Germany,27,0
313,1766,4615.57,2023-11-09,Debit,India,55,0
314,1293,2333.84,2023-11-10,Debit,India,18,0
315,3327,2409.38,2023-11-11,Transfer,USA,72,0
316,4908,4593.09,2023-11-12,Transfer,USA,73,0
317,3931,2939.47,2023-11-13,Credit,India,44,0
318,4681,173.9,2023-11-14,Transfer,Canada,63,0
319,1197,4564.62,2023-11-15,Credit,India,25,0
320,4029,1248.65,2023-11-16,Credit,India,68,0
321,2930,2892.38,2023-11-17,Transfer,UK,63,1
322,4582,835.91,2023-11-18,Credit,UK,59,0
323,3799,179.06,2023-11-19,Debit,UK,34,0
324,3191,1564.25,2023-11-20,Transfer,Canada,26,0
325,1608,3904.67,2023-11-21,Debit,Canada,78,0
326,4272,1395.16,2023-11-22,Transfer,India,23,0
327,2147,1108.29,2023-11-23,Credit,UK,60,0
328,1186,1071.28,2023-11-24,Transfer,Canada,42,0
329,4397,2580.72,2023-11-25,Debit,USA,56,0
330,3511,4877.95,2023-11-26,Credit,India,66,0
331,4420,2300.36,2023-11-27,Transfer,Germany,77,0
332,2794,2790.95,2023-11-28,Transfer,India,45,0
333,1659,4304.55,2023-11-29,Transfer,Germany,50,0
334,3811,2680.0,2023-11-30,Debit,UK,71,0
335,4002,930.47,2023-12-01,Debit,Germany,54,0
336,2955,1504.98,2023-12-02,Transfer,UK,26,0
337,3450,1556.59,2023-12-03,Credit,USA,35,0
338,2369,1992.62,2023-12-04,Credit,Germany,73,0
339,2986,2139.68,2023-12-05,Debit,India,76,0
340,2534,4000.91,2023-12-06,Credit,UK,38,0
341,1146,1753.44,2023-12-07,Debit,India,19,0
342,4219,2346.48,2023-12-08,Transfer,Canada,78,0
343,3911,3128.63,2023-12-09,Debit,UK,75,0
344,2734,1894.85,2023-12-10,Debit,Germany,60,0
345,2843,4184.46,2023-12-11,Transfer,UK,76,0
346,1488,2941.39,2023-12-12,Credit,India,77,0
347,3976,1477.28,2023-12-13,Debit,USA,55,0
348,2959,3573.16,2023-12-14,Debit,UK,75,0
349,2663,2642.96,2023-12-15,Transfer,Germany,57,0
350,3598,2676.93,2023-12-16,Credit,Canada,53,0
351,3385,2410.63,2023-12-17,Debit,USA,67,0
352,3919,2490.09,2023-12-18,Transfer,Canada,77,0
353,1640,3829.13,2023-12-19,Debit,UK,60,0
354,2802,523.88,2023-12-20,Transfer,India,54,0
355,3520,1678.47,2023-12-21,Credit,India,32,0
356,2969,386.76,2023-12-22,Credit,Germany,45,0
357,3198,3768.7,2023-12-23,Credit,India,35,0
358,2438,1368.79,2023-12-24,Credit,USA,51,0
359,4369,4488.18,2023-12-25,Debit,India,39,0
360,2634,2637.63,2023-12-26,Debit,Germany,28,0
361,1262,4005.74,2023-12-27,Credit,UK,75,0
362,2787,4894.87,2023-12-28,Credit,UK,74,0
363,3191,4200.55,2023-12-29,Credit,India,30,0
364,3393,4336.3,2023-12-30,Debit,Canada,21,0
365,1623,2045.84,2023-12-31,Credit,UK,39,0
366,2016,2763.1,2024-01-01,Credit,India,24,0
367,4643,1276.9,2024-01-02,Credit,Germany,78,0
368,1880,988.6,2024-01-03,Transfer,India,60,0
369,3049,2532.48,2024-01-04,Credit,UK,71,0
370,3944,2979.29,2024-01-05,Transfer,Germany,41,0
371,2327,1702.96,2024-01-06,Transfer,India,21,0
372,3301,2851.52,2024-01-07,Credit,USA,45,1
373,4723,4438.43,2024-01-08,Transfer,Germany,32,0
374,1452,2788.04,2024-01-09,Credit,USA,18,0
375,4108,3606.86,2024-01-10,Debit,Canada,72,0
376,2183,4028.52,2024-01-11,Debit,Germany,20,0
377,4062,4943.76,2024-01-12,Debit,USA,31,0
378,3056,3019.96,2024-01-13,Debit,UK,55,0
379,4304,4036.18,2024-01-14,Transfer,UK,67,0
380,4170,4813.62,2024-01-15,Credit,Canada,74,0
381,2682,4722.6,2024-01-16,Credit,Germany,18,0
382,3863,714.0,2024-01-17,Credit,Germany,55,0
383,3255,2037.9,2024-01-18,Debit,Germany,55,0
384,2154,1626.71,2024-01-19,Debit,Canada,38,0
385,1403,443.76,2024-01-20,Credit,Germany,65,0
386,3199,3169.87,2024-01-21,Debit,UK,46,0
387,3101,3682.16,2024-01-22,Credit,USA,22,0
388,4191,4242.16,2024-01-23,Credit,UK,66,0
389,2696,622.66,2024-01-24,Credit,UK,27,1
390,4991,4383.46,2024-01-25,Credit,USA,45,0
391,1627,3218.2,2024-01-26,Credit,UK,38,0
392,1586,3522.69,2024-01-27,Credit,Canada,67,0
393,2648,4554.01,2024-01-28,Credit,USA,24,0
394,2443,3127.56,2024-01-29,Debit,UK,20,0
395,2445,1685.97,2024-01-30,Credit,India,62,0
396,1103,4127.29,2024-01-31,Credit,UK,64,0
397,4923,1821.67,2024-02-01,Debit,Canada,37,0
398,1253,180.8,2024-02-02,Debit,Germany,36,0
399,4298,4154.97,2024-02-03,Debit,UK,52,0
400,4183,1732.51,2024-02-04,Credit,Germany,21,0
401,3557,3871.43,2024-02-05,Transfer,India,22,0
402,2496,1820.16,2024-02-06,Transfer,UK,18,0
403,1098,4306.73,2024-02-07,Debit,USA,21,0
404,3200,1105.36,2024-02-08,Transfer,Germany,29,0
405,2884,4872.99,2024-02-09,Debit,India,77,0
406,3961,3901.0,2024-02-10,Credit,USA,44,0
407,2919,580.05,2024-02-11,Transfer,USA,73,0
408,1877,2833.23,2024-02-12,Credit,USA,59,0
409,1337,4926.98,2024-02-13,Transfer,USA,40,0
410,4777,2360.62,2024-02-14,Credit,UK,42,0
411,3869,918.71,2024-02-15,Transfer,UK,38,0
412,4234,2429.04,2024-02-16,Credit,UK,78,0
413,4791,2567.16,2024-02-17,Credit,India,75,0
414,1956,3711.02,2024-02-18,Transfer,India,69,0
415,2704,3497.24,2024-02-19,Credit,India,41,0
416,1160,2018.72,2024-02-20,Credit,Canada,42,0
417,2603,1097.94,2024-02-21,Credit,India,62,0
418,3848,3228.82,2024-02-22,Transfer,UK,72,0
419,1397,2114.3,2024-02-23,Transfer,UK,63,0
420,2300,670.06,2024-02-24,Credit,Canada,49,0
421,1815,4503.86,2024-02-25,Credit,Canada,72,0
422,4987,3459.2,2024-02-26,Transfer,India,49,0
423,2527,3419.09,2024-02-27,Transfer,Germany,22,0
424,2919,4114.69,2024-02-28,Credit,Canada,53,0
425,2415,2653.01,2024-02-29,Credit,USA,63,0
426,2158,4077.12,2024-03-01,Credit,UK,59,0
427,2218,2495.47,2024-03-02,Debit,USA,66,0
428,1400,345.21,2024-03-03,Transfer,UK,59,0
429,1639,2032.19,2024-03-04,Debit,UK,75,0
430,4104,2492.35,2024-03-05,Transfer,Canada,56,0
431,3735,3603.81,2024-03-06,Transfer,Canada,33,0
432,1459,541.83,2024-03-07,Transfer,USA,50,0
433,1954,708.69,2024-03-08,Transfer,UK,66,0
434,4954,1325.78,2024-03-09,Transfer,USA,38,1
435,1469,1339.83,2024-03-10,Transfer,Germany,78,0
436,4446,3663.6,2024-03-11,Transfer,USA,26,0
437,2045,1261.15,2024-03-12,Debit,India,23,0
438,3797,3169.16,2024-03-13,Credit,USA,68,0
439,2693,2476.43,2024-03-14,Credit,India,62,0
440,3085,2870.74,2024-03-15,Debit,India,52,0
441,3277,4192.15,2024-03-16,Debit,India,56,0
442,4436,2027.86,2024-03-17,Debit,Germany,39,0
443,1562,3856.85,2024-03-18,Debit,USA,58,0
444,3485,2115.96,2024-03-19,Transfer,USA,71,0
445,2799,1775.82,2024-03-20,Credit,Germany,22,0
446,4354,4793.55,2024-03-21,Transfer,UK,59,0
447,3074,930.01,2024-03-22,Credit,Canada,40,0
448,1225,460.78,2024-03-23,Credit,USA,34,0
449,4348,3857.22,2024-03-24,Debit,Canada,29,0
450,1797,350.57,2024-03-25,Transfer,Germany,40,0
451,4680,4187.02,2024-03-26,Debit,UK,33,0
452,3331,2191.6,2024-03-27,Transfer,UK,20,0
453,3926,4578.41,2024-03-28,Credit,UK,47,0
454,1959,3610.45,2024-03-29,Debit,Germany,74,0
455,2504,3055.92,2024-03-30,Debit,India,39,0
456,1452,4747.04,2024-03-31,Credit,India,26,0
457,4067,1989.28,2024-04-01,Credit,Canada,46,0
458,4900,4770.89,2024-04-02,Credit,India,64,0
459,1815,683.66,2024-04-03,Debit,India,54,0
460,1658,2423.94,2024-04-04,Transfer,UK,40,0
461,4587,1356.86,2024-04-05,Debit,UK,30,0
462,1546,2703.82,2024-04-06,Transfer,Canada,49,0
463,2215,818.45,2024-04-07,Debit,USA,63,0
464,4120,4209.23,2024-04-08,Debit,Canada,69,0
465,4583,4233.58,2024-04-09,Credit,Canada,64,0
466,1016,4776.63,2024-04-10,Transfer,Germany,65,0
467,4243,781.81,2024-04-11,Debit,Germany,40,0
468,2243,3120.43,2024-04-12,Debit,Canada,62,0
469,3205,2376.44,2024-04-13,Credit,Canada,34,0
470,3524,1728.47,2024-04-14,Credit,Canada,72,0
471,2069,1764.19,2024-04-15,Transfer,India,57,0
472,4444,2069.84,2024-04-16,Debit,Germany,38,0
473,3565,3527.58,2024-04-17,Transfer,Canada,19,0
474,3146,2995.45,2024-04-18,Debit,UK,54,0
475,4963,2303.81,2024-04-19,Transfer,UK,23,0
476,2768,388.91,2024-04-20,Credit,India,61,0
477,2060,398.05,2024-04-21,Debit,India,35,0
478,3327,21.67,2024-04-22,Transfer,USA,47,0
479,4420,4838.82,2024-04-23,Credit,USA,39,0
480,3544,36.22,2024-04-24,Credit,USA,71,0
481,1301,524.44,2024-04-25,Transfer,India,50,0
482,1180,1579.84,2024-04-26,Debit,India,47,0
483,1606,4039.08,2024-04-27,Debit,India,34,0
484,4170,4810.87,2024-04-28,Credit,UK,79,0
485,1699,3952.17,2024-04-29,Debit,India,60,0
486,1992,3455.9,2024-04-30,Debit,UK,49,0
487,2139,2611.29,2024-05-01,Debit,USA,59,0
488,1190,442.66,2024-05-02,Credit,USA,68,0
489,3300,4791.27,2024-05-03,Transfer,USA,31,0
490,1980,3794.38,2024-05-04,Debit,Canada,75,0
491,3975,3198.36,2024-05-05,Credit,Canada,27,0
492,3006,3797.59,2024-05-06,Credit,Germany,64,0
